P011 Pendang,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,BN,PH,PEJUANG
Tokai (N18ï¼‰,Sri Pudak,011/18/01,Maktab Mahmud Pendang,612,215,51,19
,Kepala Bukit,011/18/02,SK Penghulu Jusoh,1237,429,78,13
,Kampung Penyarom,011/18/03,SMK Tobiar,765,140,55,10
,Tanah Merah,011/18/04,SK Tanah Merah,685,214,263,12
,Kampung Rambai,011/18/05,SK Kg Rambai,1424,381,99,15
,Kubang Jelai,011/18/06,SK Haji Abdul Rahman,1253,346,276,30
,Pekan Tokai,011/18/07,SMK Tokai,1010,429,930,47
,Kampung Pulai,011/18/08,SK Kampung Pulai Tokai,547,198,30,6
,Alor Besar,011/18/09,SK Alor Besar,625,75,45,6
,Kobah,011/18/10,SK Bukit Choras,1273,269,231,10
,Tempoyak,011/18/11,SMK Pendang,217,23,10,2
,Sebrang Pendang,011/18/12,SK Tunku Intan Safinaz,1345,324,713,28
,Pekan Pendang,011/18/13,SJK (C) Yeang Cheng,592,232,185,15
,Bukit Raya,011/18/14,SK Bukit Raya Dalam,1659,342,125,28
,Banggol Besi,011/18/15,SMK Tanah Merah,1683,182,75,12
,Guar Kepayang,011/18/16,SK Guar Kepayang,143,346,78,11
,Cherok Kudong,011/18/17,SK Cherok Kudong,967,303,51,3
,Gajah Mati,011/18/18,SK Kampung Chegar,1672,437,109,18
,Manggol Petai,011/18/19,SMK Tuanku Temenggung,2504,551,464,26
,Paya Kelubi,011/18/20,SK Pendang,1298,202,78,9
,Batu Manunggul,011/18/21,SK Ayer Puteh,1516,340,93,15
Sungai Tiang (N19),Kubor Panjang,011/19/01,SK Kubor Panjang,1530,654,251,24
,Kampung Perupok,011/19/02,SK Bendang Raja,1182,672,210,31
,Kampung China,011/19/03,SK Hujung Keton,489,638,452,44
,Padang Durian,011/19/04,SK Padang Durian,679,401,52,10
,Pokok Assam,011/19/05,SK Pokok Assam,721,393,55,18
,Kampung Belat,011/19/06,SMK Kubor Panjang,1104,836,266,41
,Paya Rawa,011/19/07,SK Paya Rawa,984,540,77,13
,Kampung Bechah,011/19/08,SK Syed Ibrahim,949,456,48,8
,Titi Akar,011/19/09,"Sekolah Bahasa Siam, Watt Siam Titi Akar",379,114,384,28
,Sungai Tiang Blok B,011/19/10,SMK Sungai Tiang,949,469,72,30
,Sungai Tiang Blok A,011/19/11,SK Sungai Tiang,993,420,92,22
,Kampung Mahawangsa Pendang,011/19/12,SK Sungai Siput,118,95,41,3
,Kampung Bahru,011/19/13,SK Kampong Baru,1512,811,363,41
,Sawa Kechil,011/19/14,"Ma'had Al-Imam As-Syafie, Sawa Kechil",825,302,48,6
,Padang Pusing,011/19/15,SMK Syed Ibrahim Padang Pusing,1388,636,403,26
,Ayer Puteh,011/19/16,SK Hj Mohamad Ariff,1796,625,101,17
,Bukit Jambol,011/19/17,SK Bukit Jambul,1367,343,195,17
,Junun,011/19/18,SK Bukit Jenun,1646,280,262,12
,Tanjong Setol,011/19/19,Sekolah Model Khas Bukit Jenun,1023,429,157,21
,Bukit Genting,011/19/20,SK Bukit Genting,606,426,36,4
,Pokok Tai,011/19/21,SK Pokok Tai,996,452,84,15
,Paya Mak Inson,011/19/22,SK Paya Mak Insun,858,728,216,18
,Paya Mengkuang,011/19/23,SK Paya Mengkuang,856,276,24,5