P099 Ampang,,,,,,,,,,,,
,,,,Votes,,,,,,Syafiq,Raven,Tan
State constituency,Polling districts,Code,Location,PH,PN,BN,PBM,PEJUANG,WARISAN,BEBAS,BEBAS,BEBAS
Bukit Antarabangsa (N19),Taman Dato Ahmad Razali,099/19/01,Dewan Orang Ramai Taman Dato Ahmad Razali,1232,908,382,171,112,9,10,0,0
,Bukit Antarabangsa,099/19/02,SMK Lembah Keramat,3391,1244,557,461,284,9,15,3,1
,Ukay Height,099/19/03,Mutiara International Grammar School Foundation Stage,700,100,54,20,23,4,3,1,0
,Ampang Jaya,099/19/04,Dewan Majlis Perbandaran Ampang Jaya Jalan 1 Ampang Jaya,1217,506,304,160,121,15,7,1,2
,Taman Perwira,099/19/05,SMK Dato' Ahmad Razali,1933,649,311,167,98,12,8,4,4
,Kampung Baharu Ampang 1,099/19/06,SJK (C) On Pong Ampang Selangor,1973,10,89,23,121,0,0,2,8
,Kampung Melayu Ampang,099/19/07,SK Ampang,892,1053,539,212,127,8,12,2,1
,Pekan Ampang,099/19/08,SJK (T) Pekan Ampang,1273,120,129,29,54,3,1,2,3
,Kampung Baharu Ampang 2,099/19/09,SJK (C) On Pong Ampang Selangor,2102,9,54,18,171,2,0,1,0
,Kampung Sri Tanjung,099/19/10,Dewan Datuk Tahir Karim Kampung Melayu Ampang,344,574,349,132,45,3,7,1,0
,Pinggiran Ukay,099/19/11,SMK Seri Keramat,745,176,88,58,54,0,1,0,0
,Kuala Ampang,099/19/12,SK (1) Kuala Ampang,2206,71,91,41,5,72,0,1,12
,Ukay Perdana,099/19/13,"Rumah Kelab Taman Kelab Ukay, Ukay Perdana",2554,2269,559,388,189,7,7,4,3
,Kampung Baharu Ampang Kedua,099/19/14,Dewan Orang Ramai Ampang Mewah,2563,440,209,79,20,142,3,3,4
,Kampung Baharu Ampang Pertama,099/19/15,SJK (C) Kampung Baru Ampang,1442,151,78,32,3,81,2,2,4
,Bandar Baru Ampang,099/19/16,SMK Bandar Baru Ampang (Pintu A),2817,1206,446,180,90,86,7,9,3
,Kampung Baharu Ampang Ketiga,099/19/17,"SK Taman Nirwana, Ampang (Pintu A)",1191,135,117,20,16,71,0,0,1
,Taman Dagang,099/19/18,SA Rakyat (KAFA Integrasi) Ar-Rahmaniah Taman Dagang,1637,765,342,84,81,33,7,0,2
,Taman Cahaya,099/19/19,"SK Taman Nirwana, Ampang (Pintu A)",1113,448,235,40,28,32,2,0,3
Lembah Jaya(N20),Taman Tun Abdul Razak,099/20/01,Kelab Darul Ehsan Taman Tun Abdul Razak Ampang,723,180,155,71,65,0,1,1,0
,Lembah Jaya Utara,099/20/02,Dewan MPAJ Lembah Jaya,626,1260,590,157,48,3,10,3,0
,Taman Kosas,099/20/03,SMK Taman Kosas,2030,1086,402,143,119,24,8,15,2
,Bukit Indah Jalan 1 & 2,099/20/04,SK Taman Bukit Indah,2362,918,379,172,168,24,11,6,7
,Seri Watan,099/20/05,SMK Bandar Baru Ampang (Pintu B),1679,591,283,120,49,49,1,4,8
,Seri Ampang,099/20/06,Dewan Orang Ramai Taman Sri Ampang,773,317,201,80,35,5,2,1,0
,Bukit Ampang,099/20/07,KAFA Integrasi Taman Sri Watan,2045,783,348,139,163,37,7,4,3
,Tasik Tambahan Utara,099/20/08,SK Taman Tasik,1263,860,382,103,63,58,6,3,2
,Ampang Campuran Jalan Ikan Emas,099/20/09,SK Ampang Campuran,1457,716,257,80,30,38,25,2,3
,Lembah Jaya Selatan,099/20/10,SK Lembah Jaya,762,1268,469,124,66,4,6,5,0
,Kampung Tengah Lembah Jaya,099/20/11,SK Taman Kosas,232,470,334,62,21,5,0,0,0
,Taman Ampang Indah,099/20/12,SK Taman Kosas,2040,1267,433,182,106,16,7,9,5
,Taman Rasmi Jaya,099/20/13,SA Rakyat KAFA Integrasi Al-Huda Taman Rasmi Jaya,699,403,222,125,52,7,3,0,2
,Tasik Tambahan Selatan,099/20/14,SRA Tasik Tambahan,1868,1956,784,204,110,48,10,7,4
,Kampung Ampang Indah,099/20/15,SRA Lembah Jaya,2174,2091,578,209,77,55,9,11,2
,Taman Mulia Jaya,099/20/16,Dewan Komuniti Taman Mulia Jaya,967,706,172,53,21,19,3,6,2
,Ampang Campuran Jalan Ikan Jelawat,099/20/17,SK Ampang Campuran,1457,716,257,90,30,38,2,25,3
,Bukit Indah Jalan 3,099/20/18,SMK Bukit Indah,1682,533,189,105,94,17,5,2,1