P111 Kota Raja,,,,,,,,,,,
,,,,Votes,,,,,Raveentharan,Kumar,Surendhar
State constituency,Polling Districts,Code,Location,PH,PN,BN,PEJUANG,PRM,BEBAS,BEBAS,BEBAS
Sentosa (N48）,Taman Klang Jaya 1,111/48/01,SMK Raja Mahadi Taman Klang Jaya,3656,182,279,18,8,9,4,4
,Sentosa Dato Yusof Shahbuddin,111/48/02,SMK Shah Bandaraya,4730,291,457,291,4,13,8,3
,Taman Desawan,111/48/03,SK Taman Klang Jaya,2237,242,282,18,2,3,1,1
,Sentosa Dato Abdul Hamid 1,111/48/04,SRA Taman Klang Jaya,5024,409,539,23,8,8,17,5
,Sentosa Dato Dagang,111/48/05,SJK (T) Taman Sentosa Klang,8722,731,749,32,17,17,8,5
,Taman Klang Jaya 2,111/48/06,SMK Raja Mahadi Taman Klang Jaya,2089,169,243,16,3,12,2,1
,Sentosa Dato Abdul Hamid 2,111/48/07,Taman Bimbingan Kanak-Kanak (KEMAS) Cawangan Taman Sentosa,1420,99,131,6,2,3,1,2
,Bandar Bukit Tinggi 1,111/48/08,"- SK Bukit Tinggi
   - SMK Batu Unjur",5406,531,311,20,12,9,2,1
,Taman Maznah,111/48/09,SMJK Chung Hwa Seksyen 36 Shah Alam,8681,1697,1124,67,18,19,15,12
,Batu 4 Jalan Kebun,111/48/10,SJK (T) Batu Ampat Jalan Kota Raja,933,55,152,6,2,0,2,1
,Taman Menara Maju,111/48/11,SK Kampung Jawa (2),2960,425,316,21,8,6,8,4
,Bandar Bukit Tinggi 2,111/48/12,SMK Bukit Tinggi Klang,4376,987,499,23,11,8,0,5
,Bandar Botanic,111/48/13,SJK (T) Ladang Highlands,6325,1293,735,42,13,15,4,3
Sungai Kandis (N49）,Seksyen 34 Shah Alam,111/49/01,Dewan Pusat Latihan Teknologi Tinggi (ADTEC) Seksyen 34 Shah Alam,1012,738,280,70,4,1,1,0
,Sungai Kandis,111/49/02,SRA Sungai Kandis Klang,700,1222,527,20,3,2,3,0
,Teluk Menegun,111/49/03,SK Telok Menegon Klang,954,1144,604,31,3,4,2,2
,LLN Connught Bridge,111/49/04,SRA Hajah Fatimah Kampong Datok Dagang Kelang,762,984,426,26,3,3,1,0
,Kampung Pandan,111/49/05,SA Rakyat (KAFA Integrasi) Kampung Pandan,181,480,339,12,2,0,1,0
,Kampung Jawa,111/49/06,Kolej Islam Sultan Alam Shah Klang,1711,1416,598,61,13,6,4,3
,Kota Raja,111/49/07,SMA Tinggi Sultan Hishamuddin,1816,1204,525,69,21,3,1,2
,Taman Seri Andalas 1,111/49/08,SK Taman Sri Andalas Klang,4398,2074,954,121,11,5,1,2
,Taman Seri Andalas 2,111/49/09,SMK Seri Andalas Klang,1926,1111,530,62,4,2,7,0
,Bukit Jati,111/49/10,SRA Kampung Jawa,1201,951,384,36,10,2,5,1
,Taman Seri Andalas 3,111/49/11,SJK (T) Simpang Lima,1195,1057,743,52,11,5,3,1
,Jalan Raya Timur,111/49/12,SM (Psdn) Chung Hua,398,58,59,4,2,0,0,0
,Bandar Puteri Klang,111/49/13,Dewan Serbaguna Klang Jaya,4446,1802,527,70,21,4,7,1
,Jalan Kebun,111/49/14,SK Jalan Kebun,880,2761,1031,54,4,2,3,0
,Johan Setia,111/49/15,SK Kampung Johan Setia Klang,979,3020,1206,61,14,0,3,1
,Seri Gambut,111/49/16,SRA Bukit Naga Batu 6 Klang,302,382,791,12,2,0,2,0
,Kampung Bukit Naga,111/49/17,SK Bukit Naga Batu 6,415,1407,509,28,4,1,0,0
,Haji Husin Jalan Kebun,111/49/18,SRA Jalan Kebun,586,1880,590,26,2,1,0,1
,Taman Berjaya,111/49/19,SMK Jalan Kebun,603,1741,351,49,6,0,1,0
Kota Kemuning（N50）,Shah Alam S 27 A,111/50/01,SK Hicom Seksyen 27 Shah Alam,1753,1848,411,87,10,1,0,0
,Shah Alam S 28,111/50/02,SK Taman Alam Megah,1569,1197,375,60,8,2,3,2
,Sri Muda 1,111/50/03,SK Taman Sri Muda,4359,1313,629,44,10,8,8,8
,Sri Muda 2 Utara,111/50/04,SK Taman Sri Muda (2),3307,1010,409,70,11,4,5,3
,Bukit Kemuning,111/50/05,SJK (C) Khe Beng Batu 8,4462,478,431,39,3,6,3,5
,Kampung Baru Hicom,111/50/06,"Dewan Blok A, Pangsapuri PPR Hicom",480,576,285,22,0,5,2,1
,Putra Heights,111/50/07,"- SK Alam Megah (3) Shah Alam
   - SK Putra Height 2
   - SJK (C) Tun Tan Siew Sin",5798,2751,932,180,20,2,3,4
,Sri Muda 2 Selatan,111/50/08,SMK Taman Sri Muda,3209,959,455,36,3,6,4,7
,Kota Kemuning Jalan 31/1 - 31/80,111/50/09,SK Bukit Kemuning,4168,876,270,29,6,2,1,0
,Bukit Rimau,111/50/10,SK Bukit Rimau,4049,917,257,63,6,1,4,7
,Shah Alam S 27 B,111/50/11,SK Seksyen 27 (1) Shah Alam,2339,1992,470,124,10,3,2,2
,Apartment S 28,111/50/12,SMK Alam Megah 2,967,824,292,22,4,2,3,1
,Kota Kemuning Jalan 31/81 - 31/170,111/50/13,SK Bukit Kemuning 2,3207,247,122,16,4,3,2,3
,Shah Alam S 26,111/50/14,SMA Al-Hikmah Shah Alam,1075,481,178,45,3,0,1,0