P121 Lembah Pantai,,,,,,
,,,Votes,,,
Polling District,Code,Location,PH,BN,PN,PEJUANG
Tasik Perdana,121/00/01,"SMK (P) Methodist, Jalan Cenderasari",242,348,263,19
Bukit Travers,121/00/02,SJK (T) Jalan Bangsar,818,228,302,19
Jalan Maarof,121/00/03,SMK Bukit Bandaraya,2536,222,127,44
Bukit Bangsar,121/00/04,SMK Bangsar,2061,1320,1358,65
Bangsar Baru,121/00/05,"- SK Bukit Bandaraya
   - Kompleks Sukan Bangsar",4145,327,210,63
Taman Lucky,121/00/06,SK Bukit Pantai,2116,234,151,39
Kawasan Universiti,121/00/07,"Gelanggang Tenis Institut Pendidikan Guru Malaysia Kampus Bahasa 
Antarabangsa",234,142,159,16
Pantai Baharu,121/00/08,"SRA Ar-Rahah, Kerinchi",1330,273,299,28
Bukit Kerinchi,121/00/09,SMK Seri Pantai,1427,1401,1174,52
Kampung Haji Abdullah Hukum,121/00/10,SRA Ibnu Sina,1191,1335,802,36
Kampung Pantai Halt,121/00/11,SRA Abdullah Ibnu Abbas,2214,1933,2061,60
Taman Bukit Angkasa,121/00/12,"- SK Bangsar
   - Padang PPR Kerinchi",3187,3141,3454,73
Pantai Hill Park,121/00/13,Kompleks Sukan Pantai Eco Park,1959,1186,1263,58
Pantai Dalam,121/00/14,SRA Al-Khawarizmi (SRA Seri Lembah Pantai),1574,1286,1368,45
Kampung Pasir,121/00/15,Padang Bola Sepak Kampung Pasir Baru Jalan Kelang Lama,710,741,682,30
Petaling Selatan,121/00/16,SJK (T) Saraswathy,963,990,695,17
Taman Sri Sentosa Utara,121/00/17,SMK Petaling,3137,511,438,21
Taman Sri Sentosa Selatan,121/00/18,"- SK Petaling 1
   - SK Petaling 2",4164,713,652,31