P134 Masjid Tanah,,,,,,,
,,,,Votes,,,
State constituency,Polling districts,Code,Location,PN,BN,PH,PEJUANG
Kuala Linggi（N01）,Tanjung Dahan,0134/01/01,SK Kuala Linggi,,,,
,Sungai Baru Hilir,0134/01/02,SK Ayer Jerneh,,,,
,Kampung Tengah,0134/01/03,SK Kampung Tengah,,,,
,Permatang,0134/01/04,SK Othman Shawal,,,,
,Kuala Sungai Baru,0134/01/05,SJK (C) Yok Sin,,,,
,Paya Mengkuang,0134/01/06,SK Sungai Tuang,,,,
,Telok Gong,0134/01/07,SMK Rahmat,,,,
Tanjung Bidara (N02),Kampung Pulau,0134/02/01,SK Jeram,,,,
,Lubok Redan,0134/02/02,SK Lubok Redan,,,,
,Sungai Baru Tengah,0134/02/03,SMK Ade Putra,,,,
,Pengkalan Balak,0134/02/04,SK Pengkalan Balak,,,,
,Pasir Gembor,0134/02/05,SK Tanjong Bidara,,,,
Ayer Limau (N03),Sungai Siput,0134/03/01,SK Sungai Siput,,,,
,Sungai Jerneh,0134/03/02,SK Sungai Jerneh,,,,
,Ramuan China Kechil,0134/03/03,SMK Lubok China,,,,
,FELCRA Ramuan China Kechil,0134/03/04,SRA (JAIM) FELCRA Ramauan China Kechil,,,,
,Ramuan China Besar,0134/05/05,SK Ramuan China Besar,,,,
,Kampung Lekok,0134/03/06,SK Demang Taha,,,,
,Kampung Pinang,0134/03/07,SK Ayer Limau,,,,
Lendu (N04),Pekan Masjid Tanah,0134/04/01,SK Sri Laksamana,,,,
,Durian Daun,0134/04/02,SK Durian Daun (K),,,,
,Sungai Baru Hulu,0134/04/03,SK Datuk Tambichik Karim,,,,
,Pekan Lendu,0134/04/04,SK Lendu,,,,
Taboh Naning (N05),Cherana Puteh,0134/05/01,SK Cherana Puteh,,,,
,Simpang Empat,0134/05/02,SK Simpang Empat,,,,
,Berisu,0134/05/03,SK Berisu,,,,
,Sungai Buloh,0134/05/04,SK Sungai Buloh,,,,
,Batang Melekek,0134/05/05,SK Melekek,,,,
,Rantau Panjang,0134/05/06,SK Rantau Panjang,,,,
,Ayer Paabas,0132/05/07,SK Ayer Pa'abas,,,,