P163 Kulai,,,,,,
,,,,Votes,,
State constituency,Polling District,Code,Location,PH,BN,PN
Bukit Permai (N50),Murni Jaya,163/50/01,SK Murni Jaya,56,721,253
,Bukit Permai,163/50/02,SK LKTP Bukit Permai,126,609,322
,Inas,163/50/03,SK LKTP Inas,62,872,407
,Sedenak Utara,163/50/04,SK Sedenak,202,348,186
,Sedenak Selatan,163/50/05,SJK (C) Sedenak,860,199,50
,Ladang Fraser,163/50/06,Balai Raya Ladang Fraser,47,142,44
,Pekan Sengkang,163/50/07,SJK (C) Sengkang,1204,309,78
,FELDA Taib Andak,163/50/08,SK Sinar Bahagia,373,2152,1603
,Ladang Swee Lam,163/50/09,"- SMK Bandar Putra
   - SK Banadar Putra
   - SK Putra Utama",6956,3232,2694
,Ladang Kelan,163/50/10,SJK (T) Ladang Kelan,65,97,72
,Bandar Kulai Utara,163/50/11,"- Dewan Serbaguna Taman Mewah
   - Taman Bimbingan Kanak Kanak KEMAS Taman Desa
   - Balai Serbaguna Taman Saga",3753,1077,758
,Kampong Pertanian,163/50/12,Dewan Serbaguna Kampung Pertanian,72,604,250
Bukit Batu (N51),Ulu Choh,163/51/01,Dewan Raya Ulu Choh,181,90,44
,Bandar Ulu Choh,163/51/02,SJK (C) Ching Yeh,804,276,135
,Kampong Rahmat,163/51/03,SK Polis Kem,1590,1345,1065
,Bukit Batu,163/51/04,SJK (C) Batu,1814,800,317
,Ayer Manis,163/51/05,SK Ayer Manis,125,591,289
,FELDA Bukit Batu,163/51/06,SK LKTP Bukit Batu,150,1088,658
,Ayer Bemban,163/51/07,SJK (C) Bemban,941,422,87
,Midland Kulai Young,163/51/08,SK Sri Gunung Pulai,64,455,160
,Pekan Kelapa Sawit Barat,163/51/09,Sekolah Agama Batu 26,1458,216,38
,Pekan Kelapa Sawit Tengah,163/51/10,SJK (C) Sawit,1665,502,128
,Pekan Kelapa Sawit Timor,163/51/11,Tadika Sawit,1211,144,27
,Kampong Sri Raya,163/51/12,SJK (T) Ladang Kulai Oil Palm,1385,848,583
,Kota Kulai,163/51/13,SJK (C) Kulai Besar,2445,408,188
,Taman Putri,163/51/14,SMK Taman Putri,3645,892,650
,Taman Permai,163/51/15,SMK Kota Kulai,2898,1194,1191
Senai (N52),Senai Baru,163/52/01,"- SJK (C) Senai
   - Dewan Serbaguna Taman Senai Baru",2111,1162,818
,Seelong,163/52/02,SJK (C) Seelong,712,268,156
,UTM,163/52/03,Perpustakaan Raja Zarith Sofiah UTM Skudai,99,136,201
,Bandar Kulai Barat,163/52/04,SK Kulai,2431,675,263
,Bandar Kulai Tengah,163/52/05,SJK (C) Kulai 1,1241,190,29
,Bandar Kulai Timor,163/52/06,SK Kulai 1,1186,368,203
,Kulai,163/52/07,"- SA Indahpura
   - SMK Indahpura (1)",5026,1442,1324
,Ladang Kulai Besar,163/52/08,SJK (T) Ladang Kulai Besar,153,81,21
,Saleng,163/52/09,SJK (C) Saleng,2355,717,373
,Taman Aman,163/52/10,Dewan Serbaguna Taman Aman,1199,944,871
,Bandar Senai Utara,163/52/11,SK Senai Utama,2032,550,609
,Bandar Senai Tengah,163/52/12,SMK Senai,1154,172,21
,Bandar Senai Selatan,163/52/13,SK Senai,2222,441,238
,Taman Muhibbah,163/52/14,"- SK Taman Muhibbah
   - SA Taman Muhibbah",3899,1002,819
,Lengkongan,163/52/15,SMK Sultan Ibrahim,1020,139,32
,Taman Selatan,163/52/16,SMK Tunku Abdul Rahman Putra,2722,533,325
,Dawani,163/52/17,Balai Raya Serbaguna Taman Bukit Senang,1310,504,482