P196 Stampin,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,PH,GPS,PSB
Kota Sentosa (N12),Stampin,0196/12/01,"- Balai Raya Kpg. Stampin
   - SJK (C) Chung Hua No. 2",2714,1821,177
,Seledah,0196/12/02,SJK (C) Stampin,2132,509,53
,Satria Jaya,0196/12/03,"- SK Satria Jaya
   - SK Sg. Stutong",2750,1455,142
,Batu Tujoh,0196/12/04,"- SJK (C) Sam Hap Hin
   - SK St. Alban
   - SJK (C) Chung Hua Stampin (Sg. Tapang)",3704,1859,238
,Hui Sing,0196/12/05,SMK Datuk Patinggi Haji Abdul Ghapor Stampin,2537,672,70
,Batu Empat,0196/12/06,SJK (C) Chung Hu Batu 4 ½,2960,910,64
Batu Kitang (N13),Arang,196/13/01,SMK Arang,2785,980,72
,Pasar Maong,192/13/02,SK Garland,2365,833,59
,Haji Baki,196/13/03,"- SJK (C) Chung Hua Pangkalan Baru
   - SK Sacred Heart Semeba
   - Dewan Serbaguna Kpg. Tematu
   - SK Jln. Haji Baki",1203,3172,123
,Kitang,196/13/04,"- SJK (C) Chung Hua Batu 8 ½ Batu Kitang
   - SJK (C) Chung Hua Batu Kitang
   - SK St. David Bumbok
   - SJK (C) Chung Hua Batu 10 Jln. Penrissen
   - SK Kpg. Landeh
   - RCBM Recreational Centre Batu 13",4304,5475,400
,Lidah Tanah,196/13/05,Balai Raya Lidah Tanah,17,840,8
Batu Kawah (N14),RPR Batu Kawah,196/14/01,SK RPR Batu Kawah,468,183,21
,Kawah,196/14/02,SJK (C) Chung Hua Batu Kawa,872,614,20
,Stapok,196/14/03,"- SK Rantau Panjang
   - SJK (C) Chung Hua Stapok
   - SMK Batu Kawa
   - SJK (C) Chung Hua Sg Tapang
   - Balai Raya Kpg Desa Wira Lot
   - SK Jalan Arang
   - SK Stapok
   - Dewan Serbaguna Kpg Sinar Budi",7290,7643,490
,Sin San Tu,196/14/04,SJK (C) Chung Hua Sin San Tu,1818,1089,71
,Kim Chu Shin,196/14/05,SJK (C) Chung Hua Kim Choo Seng,774,638,23