P207 Igan,,,,,
,,,,Votes,
State constituency,Polling Districts,Code,Location,GPS,PH
Daro (N43ï¼‰,Semah,207/43/01,"- RH Magerat Ak Rentap
   - SK Ng. Semah
   - SK Sebena
   - SK Penasu",684,41
,Tebaang,207/43/02,"- SK Campuran Daro
   - SK Kpg. Tebaang",1328,55
,Daro,207/43/03,"- SK Kpg. Nangar
   - SK Hijrah Badong
   - Tadika Kie Ming Daro",2678,187
,Lemang Peh,207/43/04,"- SK Ulu Daro
   - SK Kpg. Pabgtray Daro",1306,84
,Lassa,207/43/05,"- SK Sg. Lengan
   - SK Sg. Singat
   - SK Sawai
   - SK Sg. Pasin
   - SK Batang Lassa",1130,224
,Lebaan,207/43/06,SK Bukit Papit,276,42
Jemoreng (N44),Kuala Matu,207/44/01,"- SK Bruan Mapal
   - SK Kuala Matu
   - SK Kpg. Pergau",1539,98
,Sok,207/44/02,SK Sok,200,14
,Matu,207/44/03,Perpustakaan Majlis Daerah Matu-Daro,88,10
,Sekaan Besar,207/44/04,"- Bangunan Pusat Sumber JKKK Kpg. Tering
   - SK Orang Kaya Selair Kpg. Sekaan",618,46
,Jemoreng,207/44/05,SK Orang Kaya Sergunim Jemoreng,743,87
,Bawang,207/44/06,"- SK Sekaan Kechil
   - Dewan Kpg Bawang",1024,30
,Tian,207/44/07,SK Bawang Tian,1912,63
,Bekumah,207/44/08,SK Kampung Kebuaw,307,58
,Ilas,207/44/09,SK Sg. Ilas,153,7
,Igan,207/44/10,SK Kpg. Igan,1341,82