P211 Lanang,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PH,GPS,PSB,BEBAS
Bukit Assek (N51),Tiong Hua,211/51/01,SK Perbandaran Sibu No.4 Jln. Oya,1570,371,122,15
,Tong Sang,211/51/02,SJK (C) Sacred Heart Chinese Jln. Bukit Assek,1441,316,101,19
,Keladi,211/51/03,"- SJK (C) Hang Kwong
   - SK Ng. Salim
   - SJK (C) Sung Sang
   - SMK Bukit Assek",768,2321,160,31
,Kapor Lima,211/51/04,SJK (C) Chung Sing,1707,304,109,34
,Lembangan,211/51/05,SK St. Rita,320,74,30,6
,Uk Daik,211/51/06,SMK Katolik,1889,458,124,15
,Hardin,211/51/07,SJK (C) Uk Daik,1076,283,82,8
,Lai Chee,211/51/08,SMK St Elizabeth,734,160,60,5
,Merlin,211/51/09,SMK St Elizabeth,534,133,40,9
,Hua Kiew,211/51/10,SMK Sacred Heart,1342,301,110,9
,Hin Yu,211/51/11,SMK Methodist,1488,331,117,17
,Layang-Layang,211/51/12,SK Sacred Heart,670,130,45,11
,Manggis,211/51/13,SK Sacred Heart,261,60,17,2
,Maling,211/51/14,SMK Sacred Heart,306,47,26,3
Dudong (N52),Assan,211/52/01,"- SK Batu Wong
   - SK Ng. Asaan
   - SK Tanjong Latap
   - SJK (C) Sing Ming Kerto",656,1829,158,41
,Naman,211/52/02,"- SK Sg. Naman
   - SK Ulu Sg. Naman
   - SK Ulu Durin Kiba",600,549,89,22
,Pak,211/52/03,"- SK Sg. Durin
   - SJK (C) Hing Ung Durin
   - SK Ng. Pak
   - SK Sg. Nibong",908,981,198,21
,Dudong,211/52/04,"- SJK (C) Yong Shing Stabau
   - SJK (C) Kwong Kok Salim",565,653,86,7
,Salim,211/52/05,SMK Bukit Lima,4005,826,302,52
,Lanang,211/52/06,SMJK Chung Hua,953,257,85,18
,Aik Dee,211/52/07,SK Perbandaran Sibu No. 2,1750,375,122,21
,Menyan,211/52/08,"- SK Sg. Menyan
   - SK Ulu Sg. Sengan
   - SJK (C) Sang Ming",384,1038,224,14
,Sibu Jaya,211/52/09,"- SK Ulu Sg. Salim
   - SJK (C) Thian Hua",1630,3258,571,80
,Lada,211/52/10,SJK (C) Thai Kwang,2180,810,157,42
,Usaha Jaya,211/52/11,SK Sentosa,71,632,21,2
,Mantis,211/52/12,SK SEDC,1994,414,144,42