P214 Selangau,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,GPS,PH,BEBAS
Tamin（N59）,Siong,214/59/01,"- SK Ulu Siong
   - SMK Luar Bandar No. 1
   - SK Siong Tengah
   - SK Sg. Siong",1302,375,93
,Tamin,214/59/02,"- RH Jangit Anak Lantieng
   - SK Bt. 36
   - SK St Mark
   - SK Ng. Tajam",1091,500,177
,Sekuau,214/59/03,"- SK Penghulu Imban
   - RH Sarikei
   - RH Lanting Anak Buda
   - Dewan Masyarakat Sekuau
   - SK Sg. Pakoh Ng. Selabi
   - RH Tujoh Bejait Ulu Oya",2054,1059,214
,Selangau,214/59/04,"- SK Sg. Arau Ulu Mukah
   - RH Tegong Ulu Selangau
   - SK Ng. Kua
   - RH Pengarah Ng. Selabi
   - SJK (C) Tong Ah
   - RH Jarau Sg. Kua Batu 43 Jln. Sibu / Bintulu",1922,2694,184
,Lemai,214/59/05,"- SK Sg. Buloh
   - SK Sg. Sepiring Batu 62 Jln. Sibu /Tatau
   - SK Kuala Lemai
   - SMK Ulu Balingian
   - SK Sg. Kemena
   - SK Kuala Pelugau",1384,1684,152
Kakus (N60),Bawan,214/60/01,SK Sungai Duan,598,800,45
,Arip,214/60/02,"- SK Sg. Anak
   - RH Jilum Ng. Bawang
   - SK Sg. Tau
   - SK Sg. Bawang
   - SK Ulu Arip
   - SK Iban Union",1235,629,101
,Tatau-Buan,214/60/03,SK Tatau,819,269,40
,Kakus,214/60/04,SK RH Kesing Tatau,392,177,20
,Anap,214/60/05,RH Merayang Ng. Malat,102,121,29
,Tatau,214/60/06,SJK (C) Chung Hua Tatau,652,486,45
,Lubok Kempai,214/60/07,SK RH Tayai,298,111,16
,Bekiran,214/60/08,RH Wilson Blue Rantau Belak,120,28,9
,Tekalit,214/60/09,SK Sg. Bagian,312,132,32
,Rungan,214/60/10,RH Pandong Ng. Kakus,269,36,9
,Giri,214/60/11,RH Giri Sg. Senunok,73,37,3
,Kelebu,214/60/12,RH Jimbai Ng. kelebu,124,67,8
,Entajum,214/60/13,RH Radin Entajum,164,137,37
,Ulu Sangan,214/60/14,RH Ngindang Anak Guan (Ulu Sangan),119,89,8
,Sangan,214/60/15,SK Sangan Iban,325,170,35
,Penyarai,214/60/16,SK Kuala Penyarai Kakus,309,95,9
,Kuala Belungai,214/60/17,"- RH Edwin Ng. Kulau Kakus
   - RH Natok Bilong",193,171,12
,Muput,214/60/18,RH Agau Sg. Muput,225,156,12
,Pasir Nangka,214/60/19,SK RH Barrau,156,98,60
,Nangka Empang,214/60/20,RH Ahsoon Ng. Empang,46,20,4
,Kana,214/60/21,SK Kuala Muput,206,116,36
,Setusor,214/60/22,RH Jemat Ng. Setusor,91,60,7
,Tau,214/60/23,SK Ng. Tau,142,150,56
,Takan,214/60/24,RH Enteri Ng. Takan,149,25,13
,Annau,214/60/25,"- Tadika Kemas RH Mat Separai
   - SK Kelawit",892,546,153